Quarter,GOV,Revenue,Contribution,EBITDA,Orders,Customers,NAOV,Store_Count
Q1 FY23,1172,164,-203,-326,22.2,2.2,528,0
Q2 FY23,1482,236,-108,-259,26.1,2.6,568,0
Q3 FY23,1749,301,-79,-227,31.6,3.1,553,0
Q4 FY23,2046,363,-56,-203,39.2,3.9,522,377
Q1 FY24,2140,384,-14,-133,36.8,3.9,582,383
Q2 FY24,2760,505,36,-125,45.5,4.7,607,411
Q3 FY24,3542,644,86,-89,55.8,5.4,635,451
Q4 FY24,4027,769,159,-37,65.3,6.4,617,526
Q1 FY25,4061,942,199,-3,78.8,7.6,516,639
Q2 FY25,4928,1156,234,-8,92.9,8.9,531,791
Q3 FY25,6020,1399,232,-103,110.3,10.6,546,1007
Q4 FY25,7362,1709,289,-178,141.7,13.7,520,1301
Q1 FY26,9203,2400,360,-162,176.7,16.9,521,1544
Q2 FY26,11679,9891,542,-156,222.7,20.8,524,1816
Q3 FY26,13300,12256,736,4,243.3,23.6,547,2027
Q4 FY26,14386,13232,782,37,273.9,27.2,525,2243
