Quarter,Revenue,Adjusted_Revenue,EBITDA,EBITDA_Margin,PAT,PAT_Margin,Cash_Balance
Q1 FY23,1350,1810,-150,-8.29,-346,-25.63,
Q2 FY23,1536,2107,-192,-9.11,-359,-23.37,
Q3 FY23,1948,2363,-265,-11.21,-347,-17.81,12015
Q4 FY23,2056,2413,-175,-7.25,-188,-9.14,11323
Q1 FY24,2416,2786,12,0.43,2,0.08,11573
Q2 FY24,2848,3240,41,1.27,36,1.26,11761
Q3 FY24,3288,3646,125,3.43,138,4.2,12015
Q4 FY24,3562,3873,194,5.01,175,4.91,12015
Q1 FY25,4206,4520,299,6.62,253,6.02,12539
Q2 FY25,4799,5127,330,6.44,176,3.67,10813
Q3 FY25,5405,5746,285,4.96,59,1.09,19235
Q4 FY25,5833,6188,165,2.67,39,0.67,18824
Q1 FY26,7167,7563,172,2.4,25,0.35,18857
Q2 FY26,13590,13968,224,1.65,65,0.48,18314
Q3 FY26,16315,16692,364,2.18,102,0.63,17820
Q4 FY26,17292,17680,429,2.43,174,1.01,17972
